"Theta [deg]","dB(DirLHCP) [] - Freq='2.07GHz' Phi='0deg'","dB(DirLHCP) [] - Freq='2.07GHz' Phi='180deg'","dB(DirRHCP) [] - Freq='2.07GHz' Phi='0deg'","dB(DirRHCP) [] - Freq='2.07GHz' Phi='180deg'"
34,4.2232487884088,4.16388811988875,-14.3782678382652,-14.3079088040268
35,4.19118580870456,4.13979571057482,-14.516432409203,-14.6254727482177
36,4.15599728819808,4.11200932967808,-14.6951407891805,-14.9858761935408
37,4.11872413522014,4.08076193099513,-14.9035434085784,-15.3625656835386
38,4.08042076666526,4.04643512136548,-15.1266690989741,-15.7187175314731
39,4.04208499621925,4.00956501846918,-15.3457412351938,-16.0091739649428
40,4.00458174690467,3.97082671075417,-15.5395575317323,-16.1876408892279
41,3.96856578050361,3.93099406226916,-15.6872108610231,-16.2190579940856
42,3.93441037514591,3.89087463744475,-15.7718770219547,-16.0919513544855
43,3.90214990587284,3.8512234283571,-15.7845908400228,-15.8226903383027
44,3.8714441274126,3.81264335355745,-15.7264683487274,-15.4484888365867
45,3.8415703788224,3.77548433277225,-15.608335047073,-15.0145315445775
46,3.81144703907507,3.73975509945964,-15.4480190950379,-14.563107063379
47,3.77968785661999,3.7050618777699,-15.2666547800832,-14.1283276231739
48,3.74468300784074,3.67058520281416,-15.0854402646309,-13.7354710293667
49,3.70469968487452,3.63510086415198,-14.9236110974073,-13.4025793533025
50,3.65799322270902,3.59704433970802,-14.7976364571861,-13.1425732334873
51,3.60291941995044,3.55461172848154,-14.7212502851206,-12.9650817418163
52,3.53803957504667,3.50588552951705,-14.7058852285646,-12.8777843557055
53,3.46221138147298,3.44897147774768,-14.761197405552,-12.8873184566117
54,3.37466066336803,3.38213303653193,-14.8955073300957,-12.9998750842728
55,3.27503054997211,3.30391238049824,-15.116075363955,-13.2215981630045
56,3.16340585229222,3.21322978020825,-15.4291696680141,-13.5588720012166
57,3.04031112691272,3.10945629258439,-15.8398784096934,-14.0185477716116
58,2.9066814092436,2.99245697286782,-16.3515719243159,-14.608122954737
59,2.76380523219577,2.86260328317305,-16.9648345992288,-15.3358366077383
60,2.61324071362696,2.72075417982327,-17.6755626445204,-16.2105475769383
61,2.45670749647715,2.5682059608854,-18.4718020377441,-17.2410520314818
62,2.29596020868058,2.40661187612634,-19.3289597323759,-18.4340081095941
63,2.13265254448097,2.23787418898861,-20.2037929804939,-19.7885166997417
64,1.96820430491668,2.06401402375765,-21.0300728633304,-21.2830955990316
65,1.80368573457672,1.88702771883076,-21.7232795636749,-22.8476611355283
66,1.63973324902818,1.70874186221502,-22.2030982896147,-24.3178255164429
67,1.47650762043097,1.53068166329075,-22.4293967032666,-25.4146020659623
68,1.3137001436266,1.35396770072797,-22.4244295192034,-25.8753189504868
69,1.15058536321514,1.17925363797866,-22.2587043714427,-25.7043019723078
70,0.986112246356897,1.00671225313895,-22.0154871332452,-25.1667686989655
71,0.819020810025958,0.836070051220753,-21.7640736376475,-24.5371019440685
72,0.647969102990772,0.66668344463161,-21.5517417457226,-23.9749167446985
73,0.47165616511943,0.497643728000504,-21.4070312863161,-23.5482262995117
74,0.28892944225057,0.327895041950647,-21.345988277388,-23.2791483730621
75,0.0988690487762314,0.156349544642318,-21.377523184715,-23.1716784136825
76,-0.0991547884217076,-0.018013420981681,-21.5070736598935,-23.2247984301859
77,-0.305451503577109,-0.196073264370818,-21.7388512644095,-23.438281101118
78,-0.520005274265393,-0.378523695611643,-22.0771254361176,-23.8154318910111
79,-0.742492095934744,-0.565858124194974,-22.5269049176137,-24.3648037154122
80,-0.972314770262805,-0.758381653248515,-23.0942522405089,-25.1019346688686
81,-1.20865131596446,-0.956243840539622,-23.7863638638501,-26.051891681401
82,-1.45051202934814,-1.15948473495694,-24.611463507633,-27.2536311622179
83,-1.69680019760979,-1.36808590373,-25.578471830441,-28.7680580439564
84,-1.94637137593425,-1.58201822598544,-26.6963120411057,-30.6938845406254
85,-2.19808635784449,-1.80127913738749,-27.972573209571,-33.2006872989332
86,-2.45085368935158,-2.02591371168776,-29.4111024237084,-36.5953692341535
87,-2.7036589060619,-2.25601628774767,-31.0081094251171,-41.303780401162
88,-2.95557954565782,-2.49171199411931,-32.7471930987827,-44.8979015349075
89,-3.2057871530332,-2.73312010316271,-34.5969389254464,-41.3955296056656
90,-3.45353955901537,-2.98030329286963,-36.5221864134466,-37.8003219708636
91,-3.69816825194034,-3.23320835945264,-38.5280563948049,-35.5141675455094
92,-3.93906634365199,-3.491604653015,-40.7519432112962,-34.1229591977006
93,-4.17568231198653,-3.75502664294806,-43.6285542001822,-33.3778110574687
94,-4.40752344625438,-4.02272682396404,-48.4189795169226,-33.1613570881024
95,-4.63417096922148,-4.29364491542966,-59.4649030439951,-33.429733636291
96,-4.85530649369316,-4.5663991204979,-48.231009542227,-34.1813737083064
97,-5.07074714934918,-4.83930498960957,-41.3095898079462,-35.4147154526151
98,-5.28048471232244,-5.11042678344101,-36.9762640394124,-36.9672797997201
99,-5.48472266449395,-5.37766454581637,-33.763464724323,-37.9955233282407
100,-5.68390452451786,-5.63887676491686,-31.1969074858065,-37.0335761320647
101,-5.87872717455027,-5.89203324899513,-29.0640263219982,-34.5041315365005
102,-6.07013427944256,-6.13538612644827,-27.2510444851842,-31.819157855282
103,-6.25928710681113,-6.36764011272778,-25.6904531005008,-29.4728327931039
104,-6.44751275879593,-6.58809855886565,-24.3398411289523,-27.4987435210144
105,-6.63623252683531,-6.79676155462555,-23.1719042928679,-25.8416002713114
106,-6.82687527203939,-6.99435773120172,-22.1691019851706,-24.4456755746733
107,-7.02078206119371,-7.18230172607571,-21.3204856037533,-23.2685372025704
108,-7.21910868501539,-7.36258191443178,-20.6196451021816,-22.280217235071
109,-7.42273240852785,-7.53759437380958,-20.0632771887968,-21.4603499648249
110,-7.63216884860336,-7.70994608163096,-19.6501067142925,-20.7955980716121
111,-7.84750478369565,-7.88225178065604,-19.3799801001168,-20.2776229983243
112,-8.06835332497429,-8.05694556653875,-19.2529663937753,-19.9014815952365
113,-8.29383914555155,-8.23612219175699,-19.2682722127044,-19.6642886009172
114,-8.52262273938541,-8.42141672030761,-19.4227083851444,-19.5639836012877
115,-8.75297277764118,-8.61392621249817,-19.7083515775311,-19.598023194562
116,-8.98289307170094,-8.81417420299786,-20.1089925681474,-19.7617785302994
117,-9.21030423864697,-9.02211751152114,-20.5951962547999,-20.0463737523851
118,-9.43326978533513,-9.23719443257045,-21.1189135090789,-20.4357199382502
119,-9.65024371588027,-9.4584124533288,-21.6113917638274,-20.9027671177512
120,-9.86030565274423,-9.6844714480642,-21.9918093912535,-21.4058856626665
121,-10.0633445575068,-9.91391446641999,-22.1922039743217,-21.8881513350861
122,-10.2601569986127,-10.1452932327973,-22.1887435398812,-22.2843269969766
123,-10.452440645114,-10.3773305602093,-22.0132811702602,-22.5386877475308
124,-10.6426840814087,-10.6090588040639,-21.7333191655236,-22.6274271006084
125,-10.833973244343,-10.8399138733948,-21.4200386124028,-22.569415102099
126,-11.0297464815031,-11.0697689706044,-21.1279579258874,-22.4156632642303
127,-11.2335316697455,-11.2989006105112,-20.8905975331221,-22.2271443966634
128,-11.4486916358886,-11.5278898003575,-20.7249644856568,-22.0572473471496
129,-11.6781927951236,-11.7574712210037,-20.6383289751302,-21.9451790768803
130,-11.9244014062344,-11.9883509063575,-20.6343736259952,-21.9171552616277
131,-12.1889056001725,-12.2210173959354,-20.7178981004633,-21.990495904833
132,-12.4723606959801,-12.4555728276989,-20.8979669600593,-22.1776772496617
133,-12.774359796984,-12.6916096316088,-21.1896085874387,-22.4891402884172
134,-13.0933396423191,-12.9281557652808,-21.6143435116731,-22.9343355757825
135,-13.4265408607188,-13.1637063528711,-22.1999104292665,-23.52028789865
136,-13.7700491698971,-13.3963509457337,-22.979279927475,-24.2459373227738
137,-14.1189459537321,-13.6239923014113,-23.9878018673244,-25.0884536481303
138,-14.4675888677481,-13.8446349372846,-25.2533573214141,-25.975751459604
139,-14.810022587352,-14.0567028847168,-26.7622606985577,-26.747135803766
140,-15.1404873920438,-14.2593320463453,-28.35530399137,-27.1487054987218
141,-15.4539567449727,-14.4525802232224,-29.5294106534792,-26.9652210407623
142,-15.7466090753004,-14.6375112545563,-29.5639371501955,-26.2246042420543
143,-16.0161395072082,-14.8161366183047,-28.4630365770181,-25.1696304246441
144,-16.261851259415,-14.9912296892682,-26.9521326486543,-24.0450954073618
145,-16.4845242927536,-15.16605352292,-25.5366238508726,-22.995612411828
146,-16.6861172326733,-15.3440545107426,-24.3784342872573,-22.0833016058986
147,-16.869393783154,-15.5285702009279,-23.493754594741,-21.3261228454186
148,-17.0375660186119,-15.7225848015608,-22.8556248214173,-20.7223028964468
149,-17.1940203029711,-15.9285478010802,-22.4263971208465,-20.2622823137941
150,-17.342153302691,-16.1482560621298,-22.1656714549524,-19.9340511315889
151,-17.4853112617668,-16.3827909267337,-22.0313884694287,-19.7254912404291
152,-17.626804042414,-16.6324995493271,-21.9802452332559,-19.6254693306372
153,-17.7699575870498,-16.8970121475243,-21.9700279069038,-19.624459806817
154,-17.9181710705999,-17.1752916565291,-21.9647572503648,-19.7150328344785
155,-18.074953427757,-17.465716939255,-21.9415038296631,-19.8923422961555
156,-18.2439241715506,-17.7662032164504,-21.8956862672185,-20.1546610165509
157,-18.428772820405,-18.0743623750278,-21.8416476059549,-20.5039834248686
158,-18.6331784154846,-18.3877008221896,-21.8081416381645,-20.9467313712572
159,-18.8606950320226,-18.7038442889665,-21.8315848214866,-21.4946546906266
160,-19.1146109471441,-19.0207694899272,-21.9506008469615,-22.1661213046055
161,-19.3977886776106,-19.3370149072909,-22.2037294136989,-22.9881643087145
162,-19.7124911385228,-19.6518404041935,-22.6304310092491,-23.9999476320636
163,-20.0601965313242,-19.9653098276923,-23.275023291678,-25.2588128781284
164,-20.441402141427,-20.2782817142444,-24.1939199153047,-26.8507105105375
165,-20.8554159306965,-20.5923075175965,-25.468404867115,-28.9054725801436
166,-21.3001355976996,-20.9094499109625,-27.2290159885981,-31.592043160369
167,-21.7718186619588,-21.2320417767956,-29.7046684071098,-34.8138184868096
168,-22.2648551616527,-21.5624078756894,-33.2872337398353,-36.2895626884464
169,-22.7715676169383,-21.9025669372424,-37.7056101256832,-33.6448706627829
170,-23.2820811012943,-22.2539249084914,-36.4717727829772,-30.3262744287066
171,-23.7843277096455,-22.616963666244,-31.8335574996633,-27.6777610497317
172,-24.2642688356621,-22.9909264436789,-28.4086200230098,-25.6347429432734
173,-24.7064245775416,-23.3735034666112,-25.9645990289781,-24.0413243378501
174,-25.0947764716314,-23.7605300520622,-24.1558653647943,-22.7897777383103
175,-25.4140423138692,-24.1457252911311,-22.7896030941429,-21.811537063053
176,-25.6512078597875,-24.5205218887112,-21.7562522267192,-21.0628697801209
177,-25.7970663792888,-24.8740635523869,-20.9898778353582,-20.5158555744314
178,-25.8474237420691,-25.1934671833419,-20.4491292926324,-20.1532216691266
179,-25.8036437125469,-25.4644476892775,-20.1077179218857,-19.9654733368734
180,-25.6723632609561,-25.672363260956,-19.9494277463028,-19.9494277463028
